2025-04-24 10:35:20.673 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.5ms, Max Diff: 8.9ms, Min Diff: 0.0ms
2025-04-24 10:35:25.713 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.5ms, Max Diff: 8.9ms, Min Diff: 0.0ms
2025-04-24 10:35:30.909 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.5ms, Max Diff: 7.0ms, Min Diff: 0.0ms
2025-04-24 10:35:36.109 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 2.5ms, Max Diff: 7.0ms, Min Diff: 0.0ms
2025-04-24 10:35:41.224 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.1ms, Max Diff: 26.0ms, Min Diff: 0.0ms
2025-04-24 10:53:22.691 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.0ms, Max Diff: 48.1ms, Min Diff: 0.1ms
2025-04-24 10:53:25.419 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.4ms, Max Diff: 48.1ms, Min Diff: 0.1ms
2025-04-24 10:53:30.463 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.6ms, Max Diff: 48.1ms, Min Diff: 0.1ms
2025-04-24 10:53:35.650 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.3ms, Max Diff: 48.1ms, Min Diff: 0.1ms
2025-04-24 10:53:40.753 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.5ms, Max Diff: 46.1ms, Min Diff: 0.1ms
2025-04-24 10:53:45.910 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.3ms, Max Diff: 46.1ms, Min Diff: 0.2ms
2025-04-24 10:53:51.007 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.7ms, Max Diff: 46.1ms, Min Diff: 0.2ms
2025-04-24 10:53:56.242 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.3ms, Max Diff: 46.1ms, Min Diff: 0.2ms
2025-04-24 10:54:01.365 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.4ms, Max Diff: 38.1ms, Min Diff: 0.2ms
2025-04-24 10:54:06.534 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.4ms, Max Diff: 35.3ms, Min Diff: 0.2ms
2025-04-24 10:54:11.535 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.9ms, Max Diff: 35.3ms, Min Diff: 0.2ms
2025-04-24 10:54:16.625 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.4ms, Max Diff: 35.3ms, Min Diff: 0.2ms
2025-04-24 10:54:21.708 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.4ms, Max Diff: 35.3ms, Min Diff: 0.1ms
2025-04-24 10:54:26.867 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 35.4ms, Min Diff: 0.1ms
2025-04-24 10:54:32.043 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.5ms, Max Diff: 35.4ms, Min Diff: 0.0ms
2025-04-24 10:54:37.241 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 35.4ms, Min Diff: 0.0ms
2025-04-24 10:54:42.267 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.4ms, Max Diff: 40.9ms, Min Diff: 0.0ms
2025-04-24 10:54:47.367 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.6ms, Max Diff: 40.9ms, Min Diff: 0.0ms
