2025-04-24 11:03:50.742 - INFO - sensor [/livox/imu] - IMU stats: rate=215.35Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.748 - INFO - sensor [/livox/imu] - IMU stats: rate=215.46Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.752 - INFO - sensor [/livox/imu] - IMU stats: rate=215.51Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.757 - INFO - sensor [/livox/imu] - IMU stats: rate=215.58Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.762 - INFO - sensor [/livox/imu] - IMU stats: rate=215.65Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.767 - INFO - sensor [/livox/imu] - IMU stats: rate=215.65Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.772 - INFO - sensor [/livox/imu] - IMU stats: rate=215.69Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.777 - INFO - sensor [/livox/imu] - IMU stats: rate=215.69Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.782 - INFO - sensor [/livox/imu] - IMU stats: rate=215.62Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.789 - INFO - sensor [/livox/imu] - IMU stats: rate=215.44Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.797 - INFO - sensor [/livox/imu] - IMU stats: rate=215.02Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.809 - INFO - sensor [/livox/imu] - IMU stats: rate=214.27Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.816 - INFO - sensor [/livox/imu] - IMU stats: rate=213.48Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.819 - INFO - sensor [/livox/imu] - IMU stats: rate=212.84Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.821 - INFO - sensor [/livox/imu] - IMU stats: rate=212.56Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.828 - INFO - sensor [/livox/imu] - IMU stats: rate=212.64Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.830 - INFO - sensor [/livox/imu] - IMU stats: rate=213.57Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.834 - INFO - sensor [/livox/imu] - IMU stats: rate=214.10Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.839 - INFO - sensor [/livox/imu] - IMU stats: rate=214.33Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:50.843 - INFO - sensor [/livox/imu] - IMU stats: rate=215.09Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.845 - INFO - sensor [/livox/imu] - IMU stats: rate=215.75Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.851 - INFO - sensor [/livox/imu] - IMU stats: rate=216.21Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.853 - INFO - sensor [/livox/imu] - IMU stats: rate=217.58Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.858 - INFO - sensor [/livox/imu] - IMU stats: rate=218.84Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.862 - INFO - sensor [/livox/imu] - IMU stats: rate=219.71Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.868 - INFO - sensor [/livox/imu] - IMU stats: rate=220.66Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.872 - INFO - sensor [/livox/imu] - IMU stats: rate=220.28Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.878 - INFO - sensor [/livox/imu] - IMU stats: rate=218.90Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.882 - INFO - sensor [/livox/imu] - IMU stats: rate=218.78Hz, interval=4.9ms, dropped=9437
2025-04-24 11:03:50.888 - INFO - sensor [/livox/imu] - IMU stats: rate=218.27Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.892 - INFO - sensor [/livox/imu] - IMU stats: rate=217.75Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.897 - INFO - sensor [/livox/imu] - IMU stats: rate=217.59Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.902 - INFO - sensor [/livox/imu] - IMU stats: rate=216.45Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.908 - INFO - sensor [/livox/imu] - IMU stats: rate=215.94Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.912 - INFO - sensor [/livox/imu] - IMU stats: rate=215.73Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.917 - INFO - sensor [/livox/imu] - IMU stats: rate=215.68Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.922 - INFO - sensor [/livox/imu] - IMU stats: rate=215.71Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.928 - INFO - sensor [/livox/imu] - IMU stats: rate=215.70Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.932 - INFO - sensor [/livox/imu] - IMU stats: rate=215.68Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.937 - INFO - sensor [/livox/imu] - IMU stats: rate=215.67Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.942 - INFO - sensor [/livox/imu] - IMU stats: rate=215.67Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.948 - INFO - sensor [/livox/imu] - IMU stats: rate=215.68Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.952 - INFO - sensor [/livox/imu] - IMU stats: rate=215.69Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.957 - INFO - sensor [/livox/imu] - IMU stats: rate=215.68Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.962 - INFO - sensor [/livox/imu] - IMU stats: rate=215.64Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.968 - INFO - sensor [/livox/imu] - IMU stats: rate=215.60Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.972 - INFO - sensor [/livox/imu] - IMU stats: rate=215.52Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.978 - INFO - sensor [/livox/imu] - IMU stats: rate=215.45Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.982 - INFO - sensor [/livox/imu] - IMU stats: rate=215.49Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.988 - INFO - sensor [/livox/imu] - IMU stats: rate=215.45Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.992 - INFO - sensor [/livox/imu] - IMU stats: rate=215.54Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:50.998 - INFO - sensor [/livox/imu] - IMU stats: rate=215.62Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.002 - INFO - sensor [/livox/imu] - IMU stats: rate=215.66Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.007 - INFO - sensor [/livox/imu] - IMU stats: rate=216.00Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.012 - INFO - sensor [/livox/imu] - IMU stats: rate=216.26Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.018 - INFO - sensor [/livox/imu] - IMU stats: rate=216.28Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.022 - INFO - sensor [/livox/imu] - IMU stats: rate=216.24Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.030 - INFO - sensor [/livox/imu] - IMU stats: rate=215.76Hz, interval=5.0ms, dropped=9437
2025-04-24 11:03:51.039 - INFO - sensor [/livox/imu] - IMU stats: rate=214.84Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:51.048 - INFO - sensor [/livox/imu] - IMU stats: rate=214.33Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:51.053 - INFO - sensor [/livox/imu] - IMU stats: rate=213.63Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:51.065 - INFO - sensor [/livox/imu] - IMU stats: rate=212.72Hz, interval=5.2ms, dropped=9437
2025-04-24 11:03:51.067 - INFO - sensor [/livox/imu] - IMU stats: rate=212.14Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:51.070 - INFO - sensor [/livox/imu] - IMU stats: rate=211.79Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:51.072 - INFO - sensor [/livox/imu] - IMU stats: rate=211.86Hz, interval=5.1ms, dropped=9437
2025-04-24 11:03:51.107 - INFO - sensor [/livox/imu] - IMU stats: rate=210.92Hz, interval=5.4ms, dropped=9439
2025-04-24 11:03:51.110 - INFO - sensor [/livox/imu] - IMU stats: rate=210.83Hz, interval=5.2ms, dropped=9439
2025-04-24 11:03:51.112 - INFO - sensor [/livox/imu] - IMU stats: rate=210.73Hz, interval=5.2ms, dropped=9439
2025-04-24 11:03:51.115 - INFO - sensor [/livox/imu] - IMU stats: rate=210.58Hz, interval=5.2ms, dropped=9439
2025-04-24 11:03:51.116 - INFO - sensor [/livox/imu] - IMU stats: rate=213.66Hz, interval=5.1ms, dropped=9439
2025-04-24 11:03:51.118 - INFO - sensor [/livox/imu] - IMU stats: rate=216.64Hz, interval=5.0ms, dropped=9439
2025-04-24 11:03:51.119 - INFO - sensor [/livox/imu] - IMU stats: rate=220.03Hz, interval=5.0ms, dropped=9439
2025-04-24 11:03:51.121 - INFO - sensor [/livox/imu] - IMU stats: rate=224.20Hz, interval=5.0ms, dropped=9439
2025-04-24 11:03:51.151 - INFO - sensor [/livox/imu] - IMU stats: rate=222.81Hz, interval=5.3ms, dropped=9440
2025-04-24 11:03:51.153 - INFO - sensor [/livox/imu] - IMU stats: rate=219.13Hz, interval=5.3ms, dropped=9440
2025-04-24 11:03:51.155 - INFO - sensor [/livox/imu] - IMU stats: rate=215.07Hz, interval=5.3ms, dropped=9440
2025-04-24 11:03:51.156 - INFO - sensor [/livox/imu] - IMU stats: rate=210.73Hz, interval=5.3ms, dropped=9440
2025-04-24 11:03:51.158 - INFO - sensor [/livox/imu] - IMU stats: rate=211.36Hz, interval=5.3ms, dropped=9440
2025-04-24 11:03:51.159 - INFO - sensor [/livox/imu] - IMU stats: rate=213.85Hz, interval=5.3ms, dropped=9440
2025-04-24 11:03:51.161 - INFO - sensor [/livox/imu] - IMU stats: rate=217.77Hz, interval=5.2ms, dropped=9440
2025-04-24 11:03:51.162 - INFO - sensor [/livox/imu] - IMU stats: rate=221.97Hz, interval=5.2ms, dropped=9440
2025-04-24 11:03:51.164 - INFO - sensor [/livox/imu] - IMU stats: rate=226.35Hz, interval=5.2ms, dropped=9440
2025-04-24 11:03:51.195 - INFO - sensor [/livox/imu] - IMU stats: rate=225.52Hz, interval=5.4ms, dropped=9442
